txn_id,car_name,nominal_kwh,usable_kwh,label_soh_abs,label_soh,soc_min_full,soc_max_full,delta_soc_full,soc_min_20_80,soc_max_20_80,delta_soc_20_80,dSOC_dt_mean,dSOC_dt_max,start_ts,end_ts,connector,seq_len
8964,BYD Dolphin GLX,44.9,16.846981576692702,0.3752111709731114,0.7,0.0,100.0,100.0,20.0,80.0,60.0,0.9613539754054339,1.166666736205423,2024-10-05 09:22:00,2024-10-05 09:55:00,351898,61
9093,BYD Atto 3 Dynamic,49.92,48.693618505811784,0.975433063017063,0.975433063017063,0.0,100.0,100.0,20.0,80.0,60.0,0.22506508558820834,0.6500000387430214,2024-10-09 09:15:00,2024-10-09 10:05:00,363012,61
9158,BYD Dolphin GLX,44.9,67.78022569444444,1.5095818640188072,1.05,15.0,100.0,85.0,20.0,80.0,60.0,0.021766848816029142,0.03333333333333333,2024-10-11 00:51:00,2024-10-11 02:04:00,351898,61
9167,BYD Atto 3 Dynamic,49.92,56.43802623456791,1.1305694357886198,1.05,10.0,100.0,90.0,20.0,80.0,60.0,0.029408014571948998,0.05,2024-10-11 04:06:00,2024-10-11 05:07:00,363012,61
9208,BYD Atto 3 Dynamic,49.92,3.960995579013049,0.0793468665667678,0.7,0.0,100.0,100.0,20.0,80.0,60.0,1.2014295322837396,1.2833336597019602,2024-10-12 05:13:00,2024-10-12 05:42:00,363012,61
9298,BYD Atto 3 Dynamic,49.92,69.05034104938272,1.3832199729443655,1.05,18.0,88.0,70.0,20.0,80.0,60.0,0.03175774134790528,0.05,2024-10-16 01:28:00,2024-10-16 02:09:00,351899,61
9301,BYD Atto 3 Dynamic,49.92,55.93288194444443,1.1204503594640312,1.05,9.0,91.0,82.0,20.0,80.0,60.0,0.029417122040072855,0.03333333333333333,2024-10-16 02:29:00,2024-10-16 03:20:00,363013,61
9368,BYD Atto 3 Premium,60.48,67.19744444444446,1.111068856554968,1.05,18.0,100.0,82.0,20.0,80.0,60.0,0.023406193078324228,0.03333333333333333,2024-10-18 01:02:00,2024-10-18 02:07:00,363012,61
9441,BYD Atto 3 Premium,60.48,69.376625,1.1471002810846562,1.05,16.0,100.0,84.0,20.0,80.0,60.0,0.027049180327868846,0.03333333333333333,2024-10-20 11:35:00,2024-10-20 12:37:00,363012,61
9550,BYD Dolphin GLX,44.9,49.95993055555555,1.1126933308586984,1.05,6.0,100.0,94.0,20.0,80.0,60.0,0.02304189435336976,0.03333333333333333,2024-10-25 00:44:00,2024-10-25 02:02:00,351898,61
9551,BYD Atto 3 Dynamic,49.92,55.18618055555556,1.1054923989494303,1.05,12.0,100.0,88.0,20.0,80.0,60.0,0.02750455373406193,0.03333333333333333,2024-10-25 00:45:00,2024-10-25 01:49:00,351899,61
9618,BYD Atto 3 Premium,60.48,67.21051736111112,1.111285009277631,1.05,7.0,100.0,93.0,20.0,80.0,60.0,0.030063752276867032,0.05,2024-10-27 09:11:00,2024-10-27 10:16:00,363012,61
9622,BYD Atto 3 Dynamic,49.92,49.434243055555555,0.9902692919782763,0.9902692919782763,8.0,100.0,92.0,20.0,80.0,60.0,0.029417122040072855,0.03333333333333333,2024-10-28 01:50:00,2024-10-28 02:55:00,363012,61
9653,BYD Atto 3 Dynamic,49.92,55.26178819444444,1.107006975048967,1.05,9.0,100.0,91.0,20.0,80.0,60.0,0.03078324225865209,0.03333333333333333,2024-10-29 04:32:00,2024-10-29 05:28:00,351899,61
9679,BYD Atto 3 Dynamic,49.92,55.75741666666667,1.1169354300213676,1.05,6.0,97.0,91.0,20.0,80.0,60.0,0.030947176684881603,0.05,2024-10-29 12:51:00,2024-10-29 13:51:00,363012,61
9739,BYD Atto 3 Premium,60.48,69.49558333333334,1.1490671847442684,1.05,12.0,100.0,88.0,20.0,80.0,60.0,0.027686703096539162,0.03333333333333333,2024-11-01 00:54:00,2024-11-01 01:55:00,363013,61
