txn_id,soc,V,I,P,R,soc_norm,delta_soc_20_80,dSOC_dt,dV_dSOC,dI_dSOC,dP_dSOC
8094,42.0,364.29999999999995,173.755,63298.5,2.096630312796754,0.36666666666666664,60.0,0.03333333333333333,0.09999999999999432,-0.025000000000005684,8.5
8094,43.0,364.4,173.73,63307.0,2.097507626777183,0.38333333333333336,60.0,0.03333333333333333,0.125,0.2574999999999932,115.75
8094,44.0,364.54999999999995,174.26999999999998,63530.0,2.0918689390026968,0.4,60.0,0.03333333333333333,0.15000000000000568,0.5400000000000063,223.0
8094,45.0,364.7,174.81,63753.0,2.086265087809622,0.4166666666666667,60.0,0.03333333333333333,0.10000000000002274,-0.13249999999999318,-31.0
8094,46.0,364.75,174.005,63468.0,2.0962041320651705,0.43333333333333335,60.0,0.03333333333333333,0.05000000000001137,-0.8050000000000068,-285.0
8094,47.0,364.8,173.2,63183.0,2.1062355658198615,0.45,60.0,0.03333333333333333,0.10000000000002274,-0.37000000000000455,-117.75
8094,48.0,364.95000000000005,173.265,63232.5,2.106311141892477,0.4666666666666667,60.0,0.03333333333333333,0.15000000000000568,0.06500000000001194,49.5
8094,49.0,365.1,173.33,63282.0,2.1063866612819475,0.48333333333333334,60.0,0.03333333333333333,0.14999999999997726,0.29750000000001364,134.75
8094,50.0,365.25,173.86,63502.0,2.100828252617048,0.5,60.0,0.03333333333333333,0.14999999999997726,0.5299999999999869,220.0
8094,51.0,365.4,174.39,63722.0,2.0953036297952865,0.5166666666666667,60.0,0.03333333333333333,0.024999999999977263,-0.9000000000000057,-324.25
8094,52.0,365.29999999999995,172.06,62853.5,2.1230965942113214,0.5333333333333333,60.0,0.03333333333333333,-0.09999999999999432,-2.3299999999999983,-868.5
8094,53.0,365.2,169.73,61985.0,2.151652624756967,0.55,60.0,0.03333333333333333,-1.724999999999966,-18.42750000000001,-6907.25
8094,54.0,361.85,135.20499999999998,49039.0,2.6763063496172483,0.5666666666666667,60.0,0.03333333333333333,-3.3499999999999943,-34.52499999999999,-12946.0
8094,55.0,358.5,100.68,36093.0,3.5607866507747317,0.5833333333333334,60.0,0.022222222222222223,-1.625,-15.717499999999994,-5914.0
8094,56.0,358.6,103.77,37211.0,3.455719379396743,0.6,60.0,0.022222222222222223,0.19999999999998863,2.5049999999999955,919.5
8094,57.0,358.9,105.69,37932.0,3.3957801116472703,0.6166666666666667,60.0,0.03333333333333333,0.29999999999998295,1.9200000000000017,721.0
8094,58.0,359.2,107.61,38653.0,3.337979741659697,0.6333333333333333,60.0,0.022222222222222223,0.30000000000001137,1.3049999999999997,500.5
8094,59.0,359.5,108.3,38933.0,3.319482917820868,0.65,60.0,0.016666666666666666,3.75,33.410000000000004,12655.0
8094,60.0,366.7,174.43,63963.0,2.1022759846356704,0.6666666666666666,60.0,0.022222222222222223,3.75,33.012499999999996,12522.0
8094,61.0,367.0,174.325,63977.0,2.105263157894737,0.6833333333333333,60.0,0.03333333333333333,0.30000000000001137,-0.10500000000000398,14.0
8094,62.0,367.3,174.22,63991.0,2.1082539318103546,0.7,60.0,0.03333333333333333,-1.3000000000000114,-14.989999999999995,-5645.75
