transaction_pk,car_name,nominal_kwh
15692,BYD Atto 3 Premium,60.48
15702,BYD Atto 3 Dynamic,49.92
15710,BYD Seal Advanced,61.44
15718,BYD Seal Advanced,61.44
15725,BYD Seal Advanced,61.44
15735,BYD Dolphin GLX,44.9
15736,BYD Seal Perfomance,82.56
15738,BYD Atto 3 Dynamic,49.92
15740,BYD Atto 3 Premium,60.48
15752,BYD M6 Performance,55.4
15765,BYD Atto 3 Premium,60.48
15768,BYD Dolphin GLX,44.9
15769,BYD M6 Performance,55.4
15772,BYD Atto 3 Dynamic,49.92
15774,BYD M6 Performance,55.4
15780,BYD M6 Performance,55.4
15788,BYD Dolphin GLX,44.9
15795,BYD Atto 3 Dynamic,49.92
15801,BYD Dolphin GLX,44.9
15807,BYD Atto 3 Premium,60.48
15815,BYD M6 Performance,55.4
15821,BYD M6 Performance,55.4
15824,BYD M6 Performance,55.4
15833,BYD Atto 3 Dynamic,49.92
15842,BYD Seal Advanced,61.44
15848,BYD Dolphin GLX,44.9
15851,BYD Atto 3 Premium,60.48
15858,BYD Atto 3 Dynamic,49.92
15862,BYD M6 Performance,55.4
15865,BYD Dolphin GLX,44.9
15885,BYD Atto 3 Dynamic,49.92
15897,BYD M6 Performance,55.4
15905,BYD Atto 3 Dynamic,49.92
15909,BYD Atto 3 Premium,60.48
15912,BYD Dolphin GLX,44.9
15913,BYD Seal Perfomance,82.56
15916,BYD Atto 3 Dynamic,49.92
15917,BYD Atto 3 Dynamic,49.92
15918,BYD Dolphin GLX,44.9
15924,Vinfast VF5 Plus,37.23
15932,BYD Atto 3 Dynamic,49.92
15940,BYD Atto 3 Dynamic,49.92
15941,BYD Atto 3 Dynamic,49.92
15955,BYD M6 Performance,55.4
15963,BYD Atto 3 Dynamic,49.92
15972,BYD Atto 3 Premium,60.48
15974,BYD Dolphin GLX,44.9
15981,BYD Han Performance,85.44
15982,BYD Atto 3 Dynamic,49.92
15989,BYD Atto 3 Premium,60.48
15998,BYD M6 Performance,55.4
16002,BYD Atto 3 Premium,60.48
16016,BYD Seal Perfomance,82.56
16021,BYD M6 Performance,55.4
16027,BYD Dolphin GLX,44.9
16029,BYD Atto 3 Premium,60.48
16034,BYD Atto 3 Dynamic,49.92
16050,BYD Atto 3 Premium,60.48
16058,Volvo EC40 Ultra ,78.0
16059,Volvo EC40 Ultra ,78.0
16062,BYD Atto 3 Dynamic,49.92
16076,BYD Dolphin GLX,44.9
16077,BYD Seal Advanced,61.44
16078,BYD Seal Advanced,61.44
16079,BYD Seal Advanced,61.44
16089,BYD Seal Advanced,61.44
16090,BYD Seal Advanced,61.44
16097,BYD Dolphin GLX,44.9
16099,BYD Atto 3 Dynamic,49.92
16100,BYD Atto 3 Dynamic,49.92
16101,BYD Atto 3 Dynamic,49.92
16102,BYD Atto 3 Dynamic,49.92
16105,BYD Atto 3 Dynamic,49.92
16110,BYD Seal Advanced,61.44
16123,BYD Atto 3 Dynamic,49.92
16125,BYD M6 Performance,55.4
16132,BYD M6 Performance,55.4
16139,BYD Atto 3 Premium,60.48
16148,BYD Dolphin GLX,44.9
16149,BYD Dolphin GLX,44.9
16152,BYD Atto 3 Premium,60.48
16153,BYD M6 Performance,55.4
16154,BYD Atto 3 Dynamic,49.92
16155,BYD Atto 3 Dynamic,49.92
16158,BYD M6 Performance,55.4
16160,BYD Atto 3 Dynamic,49.92
16161,BYD Dolphin GLX,44.9
16162,BYD Dolphin GLX,44.9
16165,BYD Atto 3 Premium,60.48
16168,BYD M6 Performance,55.4
16172,Vinfast VF5 Plus,37.23
16176,BYD M6 Performance,55.4
16178,BYD Dolphin GLX,44.9
16187,BYD Dolphin GLX,44.9
16188,BYD M6 Performance,55.4
16192,BYD Seal Advanced,61.44
16204,BYD Dolphin GLX,44.9
16217,BYD Seal Advanced,61.44
16218,BYD Atto 3 Premium,60.48
16223,BYD Dolphin GLX,44.9
16224,BYD Dolphin GLX,44.9
16246,BYD Atto 3 Dynamic,49.92
16247,BYD Atto 3 Dynamic,49.92
16249,BYD M6 Performance,55.4
16251,BYD M6 Performance,55.4
16252,BYD M6 Performance,55.4
16254,BYD M6 Performance,55.4
16256,BYD Dolphin GLX,44.9
16262,BYD Atto 3 Premium,60.48
16268,BYD Atto 3 Premium,60.48
16271,BYD Atto 3 Premium,60.48
16284,BYD M6 Performance,55.4
16287,BYD M6 Performance,55.4
16288,BYD Atto 3 Dynamic,49.92
16293,BYD Atto 3 Dynamic,49.92
16314,BYD Atto 3 Dynamic,49.92
16318,BYD Atto 3 Premium,60.48
16320,BYD M6 Performance,55.4
16327,BYD Seal Perfomance,82.56
16333,BYD Dolphin GLX,44.9
16340,BYD Dolphin GLX,44.9
16351,BYD M6 Performance,55.4
16363,BYD Atto 3 Premium,60.48
16364,BYD Atto 3 Dynamic,49.92
16367,BYD Atto 3 Premium,60.48
16376,BYD M6 Performance,55.4
16383,BYD Atto 3 Dynamic,49.92
16405,BYD Dolphin GLX,44.9
16408,BYD Atto 3 Premium,60.48
16435,BYD Dolphin GLX,44.9
16439,BYD Dolphin GLX,44.9
16442,BYD Atto 3 Dynamic,49.92
16443,BYD Atto 3 Premium,60.48
16459,BYD Atto 3 Dynamic,49.92
16477,BYD Atto 3 Dynamic,49.92
16479,BYD Atto 3 Dynamic,49.92
16480,BYD Atto 3 Dynamic,49.92
16482,BYD Atto 3 Dynamic,49.92
16483,BYD M6 Performance,55.4
16484,BYD M6 Performance,55.4
16489,BYD Atto 3 Dynamic,49.92
16492,BYD Atto 3 Premium,60.48
16494,BYD Dolphin GLX,44.9
16499,BYD Atto 3 Dynamic,49.92
16503,BYD Dolphin GLX,44.9
16508,BYD Seal Perfomance,82.56
16515,BYD Atto 3 Premium,60.48
16517,BYD Dolphin GLX,44.9
16526,BYD Dolphin GLX,44.9
16554,BYD Atto 3 Dynamic,49.92
16559,BYD Seal Advanced,61.44
16562,BYD Atto 3 Dynamic,49.92
16563,BYD Dolphin GLX,44.9
16564,BYD Dolphin GLX,44.9
16571,BYD Atto 3 Dynamic,49.92
16579,BYD Atto 3 Dynamic,49.92
16585,BYD M6 Performance,55.4
16586,BYD M6 Performance,55.4
16588,BYD M6 Performance,55.4
16598,BYD Dolphin GLX,44.9
16614,BYD Dolphin GLX,44.9
16617,BYD Atto 3 Dynamic,49.92
16618,BYD M6 Performance,55.4
16625,BYD Atto 3 Dynamic,49.92
16627,BYD Atto 3 Dynamic,49.92
16630,BYD M6 Performance,55.4
16631,BYD Atto 3 Dynamic,49.92
16632,BYD M6 Performance,55.4
16635,BYD Seal Perfomance,82.56
16636,BYD Atto 3 Dynamic,49.92
16637,BYD Atto 3 Dynamic,49.92
16647,BYD Atto 3 Dynamic,49.92
16650,BYD M6 Performance,55.4
16663,Vinfast VF5 Plus,37.23
16664,Vinfast VF5 Plus,37.23
16667,BYD Dolphin GLX,44.9
16675,BYD Dolphin GLX,44.9
16677,BYD Dolphin GLX,44.9
16685,BYD M6 Performance,55.4
16696,BYD Atto 3 Premium,60.48
16697,Volvo EC40 Ultra ,78.0
16699,Volvo EC40 Ultra ,78.0
16701,BYD M6 Performance,55.4
16707,BYD M6 Performance,55.4
16711,BYD Atto 3 Dynamic,49.92
16714,BYD M6 Performance,55.4
16716,BYD Atto 3 Dynamic,49.92
16717,BYD Han Performance,85.44
16726,BYD Atto 3 Premium,60.48
16729,BYD Atto 3 Dynamic,49.92
16731,BYD M6 Performance,55.4
16735,BYD Atto 3 Dynamic,49.92
16736,BYD M6 Performance,55.4
16737,BYD M6 Performance,55.4
16738,BYD M6 Performance,55.4
16739,BYD M6 Performance,55.4
16745,Vinfast VFe34,42.0
16751,BYD Dolphin GLX,44.9
16755,BYD Atto 3 Dynamic,49.92
16756,BYD M6 Performance,55.4
16763,BYD M6 Performance,55.4
16765,BYD M6 Performance,55.4
16766,BYD M6 Performance,55.4
16768,BYD M6 Performance,55.4
16772,BYD Dolphin GLX,44.9
16776,BYD Dolphin GLX,44.9
16778,BYD Atto 3 Premium,60.48
16780,Vinfast VFe34,42.0
16800,BYD Atto 3 Dynamic,49.92
16807,BYD Seal Advanced,61.44
16813,BYD Atto 3 Dynamic,49.92
16815,BYD Seal Perfomance,82.56
16824,BYD Atto 3 Premium,60.48
16831,BYD Atto 3 Dynamic,49.92
16832,BYD Dolphin GLX,44.9
16839,BYD Dolphin GLX,44.9
16840,BYD Atto 3 Premium,60.48
16842,BYD Atto 3 Dynamic,49.92
16843,Vinfast VF8,87.7
16844,Vinfast VF8,87.7
16847,BYD Dolphin GLX,44.9
16850,BYD Dolphin GLX,44.9
16854,BYD Seal Perfomance,82.56
16855,BYD M6 Performance,55.4
16862,BYD M6 Performance,55.4
16864,BYD Atto 3 Dynamic,49.92
16868,BYD Atto 3 Dynamic,49.92
16870,BYD Dolphin GLX,44.9
16877,BYD Seal Perfomance,82.56
16879,BYD Atto 3 Dynamic,49.92
16880,BYD M6 Performance,55.4
16892,BYD Atto 3 Dynamic,49.92
16894,BYD Atto 3 Premium,60.48
16907,BYD Atto 3 Premium,60.48
16918,BYD Atto 3 Premium,60.48
16921,BYD Atto 3 Dynamic,49.92
16923,BYD Atto 3 Dynamic,49.92
16925,BYD M6 Performance,55.4
16926,BYD Atto 3 Premium,60.48
16941,BYD M6 Performance,55.4
16944,BYD Atto 3 Dynamic,49.92
16953,BYD Dolphin GLX,44.9
16955,BYD Dolphin GLX,44.9
16956,BYD M6 Performance,55.4
16958,BYD Atto 3 Dynamic,49.92
16960,BYD Dolphin GLX,44.9
16982,BYD M6 Performance,55.4
16987,BYD Dolphin GLX,44.9
16988,BYD Dolphin GLX,44.9
16995,BYD Seal Perfomance,82.56
16998,BYD Atto 3 Premium,60.48
17003,BYD Atto 3 Premium,60.48
17004,BYD Dolphin GLX,44.9
17008,BYD M6 Performance,55.4
17010,Vinfast VFe34,42.0
17028,BYD M6 Performance,55.4
17033,BYD M6 Performance,55.4
17037,BYD Atto 3 Dynamic,49.92
17039,BYD Atto 3 Dynamic,49.92
17043,BYD Atto 3 Premium,60.48
17045,BYD Atto 3 Dynamic,49.92
17075,BYD M6 Performance,55.4
17078,BYD Atto 3 Premium,60.48
17081,BYD Dolphin GLX,44.9
17104,BYD Atto 3 Dynamic,49.92
17113,BYD Seal Advanced,61.44
17115,BYD Atto 3 Premium,60.48
17119,BYD Atto 3 Dynamic,49.92
17125,BYD M6 Performance,55.4
17126,BYD M6 Performance,55.4
17127,BYD M6 Performance,55.4
17128,BYD M6 Performance,55.4
17133,BYD M6 Performance,55.4
17135,BYD Seal Perfomance,82.56
17148,BYD Atto 3 Premium,60.48
17149,BYD Dolphin GLX,44.9
17154,BYD Atto 3 Premium,60.48
17163,BYD Dolphin GLX,44.9
17166,BYD Atto 3 Dynamic,49.92
17168,BYD Atto 3 Premium,60.48
17170,BYD M6 Performance,55.4
17177,BYD Dolphin GLX,44.9
17183,BYD M6 Performance,55.4
17188,BYD M6 Performance,55.4
17192,BYD Seal Advanced,61.44
17201,BYD Atto 3 Dynamic,49.92
17206,BYD Atto 3 Dynamic,49.92
17210,BYD Dolphin GLX,44.9
17214,BYD M6 Performance,55.4
17222,BYD Atto 3 Premium,60.48
17227,BYD Atto 3 Premium,60.48
17231,BYD Dolphin GLX,44.9
17237,BYD M6 Performance,55.4
17238,BYD M6 Performance,55.4
17243,BYD Han Performance,85.44
17263,BYD Dolphin GLX,44.9
17273,BYD Seal Advanced,61.44
17276,BYD Atto 3 Dynamic,49.92
17279,BYD M6 Performance,55.4
17284,BYD M6 Performance,55.4
17287,BYD M6 Performance,55.4
17289,BYD Seal Perfomance,82.56
17301,BYD M6 Performance,55.4
17304,BYD Seal Advanced,61.44
17306,BYD M6 Performance,55.4
17314,BYD M6 Performance,55.4
17315,BYD M6 Performance,55.4
17317,BYD Dolphin GLX,44.9
17318,BYD M6 Performance,55.4
17332,BYD Dolphin GLX,44.9
17341,BYD Atto 3 Dynamic,49.92
17346,BYD Atto 3 Dynamic,49.92
17348,BYD Atto 3 Dynamic,49.92
17349,BYD Atto 3 Dynamic,49.92
17350,BYD Atto 3 Dynamic,49.92
17353,BYD Dolphin GLX,44.9
17355,BYD Atto 3 Dynamic,49.92
17360,Vinfast VFe34,42.0
17361,BYD Seal Advanced,61.44
17364,BYD Atto 3 Dynamic,49.92
17373,BYD Dolphin GLX,44.9
17381,BYD Dolphin GLX,44.9
17383,BYD Dolphin GLX,44.9
17385,BYD Atto 3 Premium,60.48
17391,BYD Atto 3 Premium,60.48
17394,Volvo EC40 Ultra ,78.0
17395,BYD Atto 3 Premium,60.48
17401,BYD Atto 3 Premium,60.48
17402,BYD Atto 3 Dynamic,49.92
17416,BYD Atto 3 Premium,60.48
17419,BYD Atto 3 Premium,60.48
17424,BYD Atto 3 Premium,60.48
17431,BYD M6 Performance,55.4
17449,Volvo EC40 Ultra ,78.0
17450,Volvo EC40 Ultra ,78.0
17451,Volvo EC40 Ultra ,78.0
17452,Volvo EC40 Ultra ,78.0
17457,Volvo EC40 Ultra ,78.0
17458,Volvo EC40 Ultra ,78.0
17460,BYD M6 Performance,55.4
17461,BYD M6 Performance,55.4
17466,BYD Atto 3 Premium,60.48
17474,BYD M6 Performance,55.4
17476,BYD Atto 3 Premium,60.48
17479,BYD Atto 3 Dynamic,49.92
17483,BYD M6 Performance,55.4
17484,BYD Atto 3 Dynamic,49.92
17492,Vinfast VFe34,42.0
17497,BYD Atto 3 Dynamic,49.92
17507,BYD M6 Performance,55.4
17510,BYD M6 Performance,55.4
17511,BYD Atto 3 Dynamic,49.92
17512,BYD Atto 3 Dynamic,49.92
17513,BYD Dolphin GLX,44.9
17515,BYD M6 Performance,55.4
17523,BYD Atto 3 Premium,60.48
17525,BYD Atto 3 Premium,60.48
17526,BYD Atto 3 Dynamic,49.92
17531,BYD Atto 3 Premium,60.48
17532,BYD M6 Performance,55.4
17537,BYD Seal Perfomance,82.56
17540,BYD Dolphin GLX,44.9
17555,Vinfast VFe34,42.0
17558,BYD M6 Performance,55.4
17565,BYD Atto 3 Dynamic,49.92
17578,Vinfast VFe34,42.0
17580,BYD Atto 3 Premium,60.48
17581,BYD Atto 3 Premium,60.48
17582,BYD M6 Performance,55.4
17588,BYD Atto 3 Dynamic,49.92
17590,BYD Atto 3 Premium,60.48
17605,BYD Dolphin GLX,44.9
17608,BYD Atto 3 Premium,60.48
17612,BYD Dolphin GLX,44.9
17624,BYD M6 Performance,55.4
17626,BYD Seal Perfomance,82.56
17638,BYD Dolphin GLX,44.9
17644,BYD M6 Performance,55.4
17645,BYD M6 Performance,55.4
17646,BYD Atto 3 Dynamic,49.92
17647,BYD Atto 3 Dynamic,49.92
17650,BYD Dolphin GLX,44.9
17653,BYD Atto 3 Premium,60.48
17659,BYD Atto 3 Dynamic,49.92
17660,BYD M6 Performance,55.4
17662,BYD Atto 3 Premium,60.48
17670,BYD M6 Performance,55.4
17674,BYD M6 Performance,55.4
17675,BYD Atto 3 Dynamic,49.92
17691,BYD Dolphin GLX,44.9
17702,BYD Atto 3 Dynamic,49.92
17707,BYD M6 Performance,55.4
17709,BYD M6 Performance,55.4
17713,BYD M6 Performance,55.4
17724,BYD Atto 3 Dynamic,49.92
17725,BYD Atto 3 Premium,60.48
17726,BYD M6 Performance,55.4
17727,BYD M6 Performance,55.4
17728,BYD Atto 3 Premium,60.48
17729,BYD Atto 3 Premium,60.48
17732,BYD Dolphin GLX,44.9
17748,BYD Dolphin GLX,44.9
17751,BYD M6 Performance,55.4
17752,BYD Atto 3 Premium,60.48
17753,BYD Atto 3 Dynamic,49.92
17755,BYD Atto 3 Dynamic,49.92
